       Lattice Point                 KS orbital 1                      KS orbital 2
                             Real Part         Imaginary Part      Real Part           Imaginary Part
        7.2000000000        0.0884406566        0.0009087598       -0.0884407406       -0.0009087606
        7.6000000000        0.1189218004        0.0012457515       -0.1189218441       -0.0012457520
        8.0000000000        0.1547604188        0.0016521303       -0.1547604304       -0.0016521305
        8.4000000000        0.1936817210        0.0021063719       -0.1936816984       -0.0021063716
        8.8000000000        0.2314096942        0.0025629673       -0.2314096442       -0.0025629668
        9.2000000000        0.2617706249        0.0029515890       -0.2617705478       -0.0029515882
        9.6000000000        0.2777100941        0.0031868633       -0.2777100014       -0.0031868623
       10.0000000000        0.2733581812        0.0031916018       -0.2733580790       -0.0031916007
       10.4000000000        0.2466510053        0.0029291183       -0.2466509090       -0.0029291172
       10.8000000000        0.2012486302        0.0024301952       -0.2012485465       -0.0024301942
       11.2000000000        0.1462392397        0.0017951766       -0.1462391783       -0.0017951759
       11.6000000000        0.0930445308        0.0011607905       -0.0930444894       -0.0011607900
       12.0000000000        0.0508632344        0.0006447258       -0.0508632126       -0.0006447256
       12.4000000000        0.0233937978        0.0003012117       -0.0233937865       -0.0003012115
       12.8000000000        0.0088457487        0.0001156647       -0.0088457453       -0.0001156646
       13.2000000000        0.0026801937        0.0000355816       -0.0026801918       -0.0000355816
       13.6000000000        0.0006325055        0.0000085235       -0.0006325058       -0.0000085235
       14.0000000000        0.0001084103        0.0000014826       -0.0001084095       -0.0000014826
