     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
        3.6000000000       -1.1531277819       -0.2201364678        0.2488254131        0.0286889453
        4.0000000000       -1.2067995307       -0.2339174706        0.2603455111        0.0264280405
        4.4000000000       -1.2642914251       -0.2504848443        0.2747826803        0.0242978360
        4.8000000000       -1.3263972897       -0.2709670999        0.2932545929        0.0222874929
        5.2000000000       -1.3939411796       -0.2971964787        0.3175835315        0.0203870529
        5.6000000000       -1.4677441371       -0.3321981970        0.3507859805        0.0185877835
        6.0000000000       -1.5485749298       -0.3809549447        0.3978367061        0.0168817614
        6.4000000000       -1.6370772730       -0.4514575985        0.4667195260        0.0152619275
        6.8000000000       -1.7336663899       -0.5558139108        0.5695357948        0.0137218840
        7.2000000000       -1.8383847230       -0.7106246959        0.7228805696        0.0122558738
        7.6000000000       -1.9507051750       -0.9349061290        0.9457647974        0.0108586684
        8.0000000000       -2.0692673788       -1.2429697535        1.2524952834        0.0095255300
        8.4000000000       -2.1915300133       -1.6303202821        1.6385724225        0.0082521404
        8.8000000000       -2.3133189142       -2.0551949360        2.0622295018        0.0070345658
        9.2000000000       -2.4282474125       -2.4276747544        2.4335439627        0.0058692083
        9.6000000000       -2.5269814349       -2.6262372295        2.6309900046        0.0047527751
       10.0000000000       -2.5963177571       -2.5528958491        2.5565780920        0.0036822429
       10.4000000000       -2.6180391511       -2.2030177503        2.2056725848        0.0026548344
       10.8000000000       -2.5675051581       -1.6897906538        1.6914586450        0.0016679913
       11.2000000000       -2.4119317093       -1.1827904125        1.1835097671        0.0007193546
       11.6000000000       -2.1083068849       -0.8037520807        0.8035588245       -0.0001932562
       12.0000000000       -1.6008836453       -0.5745168168        0.5734449603       -0.0010718565
       12.4000000000       -0.8181834528       -0.4506041956        0.4486858776       -0.0019183180
       12.8000000000        0.3305628064       -0.3811860685        0.3784516992       -0.0027343692
       13.2000000000        1.9596181059       -0.3364561729        0.3329345365       -0.0035216364
       13.6000000000        4.2116770610       -0.3038598815        0.2995783112       -0.0042815702
       14.0000000000        7.2636369560       -0.2784497386        0.2734339458       -0.0050157928
  
  
      -14.0000000000       10.0636370284       -0.2784487146        0.2734329942       -0.0050157204
      -13.6000000000        6.9316771182       -0.3038586367        0.2995771237       -0.0042815130
      -13.2000000000        4.5996181645       -0.3364545612        0.3329329834       -0.0035215778
      -12.8000000000        2.8905628632       -0.3811837889        0.3784494764       -0.0027343124
      -12.4000000000        1.6618166029       -0.4506004602        0.4486821979       -0.0019182623
      -12.0000000000        0.7991164091       -0.5745099443        0.5734381422       -0.0010718021
      -11.6000000000        0.2116931680       -0.8037398008        0.8035465975       -0.0001932033
      -11.2000000000       -0.1719316576       -1.1827718345        1.1834912407        0.0007194062
      -10.8000000000       -0.4075051081       -1.6897687230        1.6914367642        0.0016680413
      -10.4000000000       -0.5380391026       -2.2029990331        2.2056539161        0.0026548829
      -10.0000000000       -0.5963177104       -2.5528867720        2.5565690616        0.0036822896
       -9.6000000000       -0.6069813899       -2.6262401148        2.6309929349        0.0047528201
       -9.2000000000       -0.5882473695       -2.4276871054        2.4335563568        0.0058692514
       -8.8000000000       -0.5533188730       -2.0552118073        2.0622464143        0.0070346070
       -8.4000000000       -0.5115299746       -1.6303371345        1.6385893136        0.0082521790
       -8.0000000000       -0.4692673424       -1.2429839215        1.2525094879        0.0095255664
       -7.6000000000       -0.4307051408       -0.9349167956        0.9457754981        0.0108587025
       -7.2000000000       -0.3983846917       -0.7106321799        0.7228880850        0.0122559051
       -6.8000000000       -0.3736663615       -0.5558189598        0.5695408722        0.0137219124
       -6.4000000000       -0.3570772479       -0.4514609634        0.4667229160        0.0152619526
       -6.0000000000       -0.3485749076       -0.3809572108        0.3978389944        0.0168817836
       -5.6000000000       -0.3477441190       -0.3321997669        0.3507875684        0.0185878015
       -5.2000000000       -0.3539411652       -0.2971976071        0.3175846743        0.0203870673
       -4.8000000000       -0.3663972800       -0.2709679441        0.2932554467        0.0222875027
       -4.4000000000       -0.3842914193       -0.2504854974        0.2747833393        0.0242978419
       -4.0000000000       -0.4067995314       -0.2339179926        0.2603460325        0.0264280398
       -3.6000000000       -0.4331277857       -0.2201368909        0.2488258324        0.0286889415
       -3.2000000000       -0.4625326770       -0.2084241132        0.2395172947        0.0310931815
       -2.8000000000       -0.4943353753       -0.1983053427        0.2319590144        0.0336536717
       -2.4000000000       -0.5279277746       -0.1894532559        0.2258382523        0.0363849964
       -2.0000000000       -0.5627830925       -0.1816398059        0.2209366622        0.0392968563
       -1.6000000000       -0.5984537463       -0.1747006850        0.2170989012        0.0423982162
       -1.2000000000       -0.6345259645       -0.1684704295        0.2142140327        0.0457436032
       -0.8000000000       -0.6702181680       -0.1623691729        0.2122042529        0.0498350799
       -0.4000000000       -0.7029515128       -0.1539661699        0.2110179851        0.0570518152
        0.0000000000       -0.7359878640       -0.1466136106        0.2106257466        0.0640121360
        0.4000000000       -0.7829513102       -0.1539659231        0.2110179409        0.0570520178
        0.8000000000       -0.8302178433       -0.1623687587        0.2122041634        0.0498354047
        1.2000000000       -0.8745259374       -0.1684702653        0.2142138956        0.0457436303
        1.6000000000       -0.9184536372       -0.1747003877        0.2170987130        0.0423983253
        2.0000000000       -0.9627830451       -0.1816395140        0.2209364176        0.0392969037
        2.4000000000       -1.0079277127       -0.1894528858        0.2258379440        0.0363850582
        2.8000000000       -1.0543353366       -0.1983049217        0.2319586321        0.0336537104
        3.2000000000       -1.1025326403       -0.2084236056        0.2395168238        0.0310932182
        3.6000000000       -1.1531277614       -0.2201362861        0.2488252519        0.0286889658
        4.0000000000       -1.2067995126       -0.2339172519        0.2603453106        0.0264280586
        4.4000000000       -1.2642914089       -0.2504845745        0.2747824268        0.0242978523
        4.8000000000       -1.3263972754       -0.2709667571        0.2932542645        0.0222875073
        5.2000000000       -1.3939411668       -0.2971960263        0.3175830920        0.0203870657
        5.6000000000       -1.4677441258       -0.3321975750        0.3507853698        0.0185877948
        6.0000000000       -1.5485749198       -0.3809540546        0.3978358261        0.0168817714
        6.4000000000       -1.6370772645       -0.4514562861        0.4667182222        0.0152619360
        6.8000000000       -1.7336663826       -0.5558119507        0.5695338420        0.0137218913
        7.2000000000       -1.8383847167       -0.7106217991        0.7228776792        0.0122558801
        7.6000000000       -1.9507051697       -0.9349020081        0.9457606818        0.0108586737
        8.0000000000       -2.0692673747       -1.2429642861        1.2524898202        0.0095255341
        8.4000000000       -2.1915300098       -1.6303137822        1.6385659259        0.0082521438
        8.8000000000       -2.3133189116       -2.0551884286        2.0622229969        0.0070345684
        9.2000000000       -2.4282474108       -2.4276699856        2.4335391957        0.0058692101
        9.6000000000       -2.5269814341       -2.6262361016        2.6309888775        0.0047527759
       10.0000000000       -2.5963177570       -2.5528993220        2.5565815651        0.0036822430
       10.4000000000       -2.6180391515       -2.2030249309        2.2056797650        0.0026548341
       10.8000000000       -2.5675051591       -1.6897990705        1.6914670607        0.0016679902
       11.2000000000       -2.4119317109       -1.1827975397        1.1835168926        0.0007193529
       11.6000000000       -2.1083068872       -0.8037567857        0.8035635272       -0.0001932585
       12.0000000000       -1.6008836480       -0.5745194419        0.5734475827       -0.0010718592
       12.4000000000       -0.8181834558       -0.4506056140        0.4486872929       -0.0019183211
       12.8000000000        0.3305628029       -0.3811869268        0.3784525542       -0.0027343727
       13.2000000000        1.9596181018       -0.3364567742        0.3329351338       -0.0035216404
       13.6000000000        4.2116770565       -0.3038603427        0.2995787680       -0.0042815747
       14.0000000000        7.2636369512       -0.2784501094        0.2734343118       -0.0050157976
  
  
      -14.0000000000       10.0636370169       -0.2784482138        0.2734324819       -0.0050157319
      -13.6000000000        6.9316771060       -0.3038580095        0.2995764843       -0.0042815252
      -13.2000000000        4.5996181517       -0.3364537377        0.3329321471       -0.0035215905
      -12.8000000000        2.8905628497       -0.3811826054        0.3784482796       -0.0027343258
      -12.4000000000        1.6618165890       -0.4505984929        0.4486802166       -0.0019182763
